id,french_prefix,french,english,type
1,,à cause de,because of,0
2,,à part,except for,0
3,,alors,so,0
4,,aussi,also,0
5,,car,because of,0
6,,cependant,however,0
7,,c’est-à-dire,that is to say,0
8,,comme,like,0
9,,d’un côté... de l’autre côté...,on the one hand... on the other hand...,0
10,,donc,so,0
11,,ensuite,then; afterwards,0
12,,évidemment,obviously,0
13,,et,and,0
14,,mais,but,0
15,,même si,even if,0
16,,ou,or,0
17,,parce que,because of,0
18,,par contre,on the other hand,0
19,,par exemple,for example,0
20,,pendant que,whilst,0
21,,pourtant,nevertheless,0
22,,puis,then; afterwards,0
23,,puisque,as; since,0
24,,quand,when,0
25,,sans doute,no doubt,0
26,,si,if,0
27,,y compris,including,0
