id,french_prefix,french,english,type
1,,à la fois,at the same time,0
2,,à l’avenir,in the future,0
3,,à l’heure,on time,0
4,,à temps partiel,part-time,0
5,,an,year,0
6,,année,year,0
7,,après,after,0
8,,après-demain,day after tomorrow,0
9,,après-midi,afternoon,0
10,,aujourd’hui,today,0
11,,auparavant,before; previously,0
12,,avant,before,0
13,,avant-hier,day before yesterday,0
14,,bientôt,soon,0
15,,d’abord,first,0
16,,dans une minute,in a minute,0
17,,d'habitude,usually,0
18,,de bonne heure,early,0
19,,début,start; beginning,0
20,,demain,tomorrow,0
21,,dernier,last,0
22,,de temps en temps,from time to time,0
23,,déjà,already,0
24,,de nouveau,again,0
25,,en attendant,whilst waiting for,0
26,,en avance,in advance; early,0
27,,en retard,late,0
28,,en train de (être...),(to be) in the middle of,0
29,,en même temps,at the same time,0
30,,encore une fois,one more time; once again,0
31,,enfin,at last,0
32,,fin,end,0
33,,hier,yesterday,0
34,,il y a,ago,0
35,,jour,day,0
36,,journée,day,0
37,,lendemain,next day,0
38,,longtemps,a long time,0
39,,maintenant,now,0
40,,matin,morning,0
41,,mois,month,0
42,,moment (en ce moment),moment (at the moment),0
43,,normalement,normally,0
44,,nuit,night,0
45,,parfois,sometimes,0
46,,passé,past,0
47,,pendant,during,0
48,,plus tard,later,0
49,,presque,almost,0
50,,prochain,next,0
51,,quelquefois,sometimes,0
52,,rarement,rarely,0
53,,récemment,recently,0
54,,semaine,week,0
55,,seulement,only,0
56,,siècle,century,0
57,,soir,evening,0
58,,soudain,suddenly,0
59,,souvent,often,0
60,,suivant,following,0
61,,sur le point de (être...),(to be) just about to,0
62,,tard,late,0
63,,tôt,early,0
64,,toujours,always,0
65,,tous les jours,every day,0
66,,tout à coup,suddenly,0
67,,tout de suite,straight away,0
68,,vite,quickly; fast,0
69,,week-end,weekend,0
