id,french_prefix,french,english,type
1,,à bientôt,see you soon,0
2,,à demain,see you tomorrow,0
3,,à tout à l’heure,see you later,0
4,,allô,hello? (when answering the telephone),0
5,,amitiés,kind regards,0
6,,au revoir,goodbye,0
7,,au secours!,help!,0
8,,bien sûr,of course,0
9,,bienvenue!,welcome!,0
10,,bonjour,hello,0
11,,bon anniversaire!,happy birthday!,0
12,,bon appétit,enjoy your meal,0
13,,bon voyage,have a good trip,0
14,,bonne année!,happy new year!,0
15,,bonne chance!,good luck!,0
16,,bonne idée!,good idea!,0
17,,bonne nuit,good night,0
18,,bonnes vacances,have a good holiday,0
19,,bonsoir,good evening,0
20,,bravo!,well done!,0
21,,ça va?,are you alright?,0
22,,ça va,I'm fine,0
23,,d’accord,alright/OK (agreeing),0
24,,de rien,don’t mention it; you’re welcome,0
25,,désolé,sorry,0
26,,s’excuser,to apologise,0
27,,excusez-moi,excuse me,0
28,,félicitations!,congratulations!,0
29,,joyeux Noël!,happy Christmas!,0
30,,meilleurs vœux,best wishes (for the New Year),0
31,,merci,thank you,0
32,,non,no,0
33,,oui,yes,0
34,,pardon,sorry; excuse me,0
35,,quel dommage,what a shame,0
36,,salut,hi,0
37,,santé!,cheers!,0
38,,s’il te/vous plaît,please,0
