id,french_prefix,french,english,type
1,,averse,(rain) shower,0
2,,briller,to shine,0
3,,brouillard,fog,0
4,,chaleur,heat,0
5,,chaud,hot,0
6,,ciel,sky,0
7,,climat,climate,0
8,,couvert,overcast,0
9,,degré,degree,0
10,,doux,mild,0
11,,éclair,lightning,0
12,,éclaircie,sunny interval,0
13,,ensoleillé,sunny,0
14,,faire beau,to be good weather,0
15,,faire mauvais,to be bad weather,0
16,,froid,cold,0
17,,geler,to freeze,0
18,,glace,ice,0
19,,humide,humid,0
20,,météo,weather forecast,0
21,,mouillé,wet,0
22,,neige,snow,0
23,,neiger,to snow,0
24,,nuage,cloud,0
25,,nuageux,cloudy,0
26,,ombre,shadow; shade,0
27,,orage,thunderstorm,0
28,,orageux,stormy,0
29,,pleuvoir,to rain,0
30,,pluie,rain,0
31,,sec,dry,0
32,,soleil,sun,0
33,,température,temperature,0
34,,tempête,storm,0
35,,temps,weather,0
36,,tonnerre,thunder,0
37,,tremper,to soak,0
38,,vent,wind,0
