id,french_prefix,french,english,type
1,,à droite,(on the) right,0
2,,à gauche,(on the) left,0
3,,banlieue,suburb,0
4,,centre-ville,town centre; city centre,0
5,,campagne,countryside,0
6,,chez,at (e.g. someone's house),0
7,,de chaque côté,on every side,0
8,,de l’autre côté,on the other side,0
9,,en bas,at the bottom; downstairs,0
10,,en haut,at the top; upstairs,0
11,,est,east,0
12,,ici,here,0
13,,kilomètre,kilometre,0
14,,là,there,0
15,,là-bas,over there,0
16,,loin de,far from,0
17,,nord,north,0
18,,nulle part,nowhere,0
19,,ouest,west,0
20,,par,by,0
21,,partout,everywhere,0
22,,quelque part,somewhere,0
23,,situé,situated; located,0
24,,sud,south,0
25,,tout droit,straight ahead,0
26,,tout près,very near,0
27,,toutes directions,all directions,0
28,,ville,town,0
